NAME                                                                                                                  VERSION                                    TYPE         
gpg-agent                                                                                                             2.2.19-3ubuntu2.1                          deb           
gpg-wks-client                                                                                                        2.2.19-3ubuntu2.1                          deb           
gpg-wks-server                                                                                                        2.2.19-3ubuntu2.1                          deb           
gpgconf                                                                                                               2.2.19-3ubuntu2.1                          deb           
gpgsm                                                                                                                 2.2.19-3ubuntu2.1                          deb           
gpgv                                                                                                                  2.2.19-3ubuntu2.1                          deb           
grep                                                                                                                  3.4-1                                      deb           
grpc-google-cloud-pubsub-v1                                                                                           1.96.5                                     java-archive  
grpcio                                                                                                                1.20.0                                     python        
gsettings-desktop-schemas                                                                                             3.36.0-1ubuntu1                            deb           
gson                                                                                                                  2.8.6                                      java-archive  
guava                                                                                                                 19.0                                       java-archive  
gzip                                                                                                                  1.10-0ubuntu4.1                            deb           
helm.sh/helm/v3                                                                                                       v3.2.0                                     go-module     
hostname                                                                                                              3.23                                       deb           
http2-common                                                                                                          9.4.45.v20220203                           java-archive  
http2-hpack                                                                                                           9.4.45.v20220203                           java-archive  
http2-server                                                                                                          9.4.45.v20220203                           java-archive  
httpclient                                                                                                            4.5.13                                     java-archive  
httpcore                                                                                                              4.4.13                                     java-archive  
idna                                                                                                                  2.8                                        python        
infinispan-common                                                                                                     9.4.45.v20220203                           java-archive  
infinispan-embedded-query                                                                                             9.4.45.v20220203                           java-archive  
infinispan-remote-query                                                                                               9.4.45.v20220203                           java-archive  
init-system-helpers                                                                                                   1.57                                       deb           
iso-codes                                                                                                             4.4-1                                      deb           
istio.io/api                                                                                                          v0.0.0-20200724154434-34e474846e0d         go-module     
istio.io/gogo-genproto                                                                                                v0.0.0-20200709220749-8607e17318e8         go-module     
istio.io/pkg                                                                                                          v0.0.0-20200709220414-14d5de656564         go-module     
j2objc-annotations                                                                                                    1.3                                        java-archive  
jackson-core                                                                                                          2.11.3                                     java-archive  
java-atk-wrapper                                                                                                                                                 java-archive  
java-common                                                                                                           0.72                                       deb           
javax-websocket-client-impl                                                                                           9.4.45.v20220203                           java-archive  
javax-websocket-server-impl                                                                                           9.4.45.v20220203                           java-archive  
javax.annotation-api                                                                                                  1.3.2                                      java-archive  
javax.mail.glassfish                                                                                                  1.4.1.v201005082020                        java-archive  
javax.security.auth.message                                                                                           1.0.0.v201108011116                        java-archive  
javax.servlet-api                                                                                                     3.1.0                                      java-archive  
javax.transaction-api                                                                                                 1.3                                        java-archive  
javax.websocket-api                                                                                                   1.0                                        java-archive  
jaxb-api                                                                                                              2.2.11                                     java-archive  
jctools-core                                                                                                          3.1.0                                      java-archive  
jetty-alpn-conscrypt-server                                                                                           9.4.45.v20220203                           java-archive  
jetty-alpn-java-server                                                                                                9.4.45.v20220203                           java-archive  
jetty-alpn-openjdk8-server                                                                                            9.4.45.v20220203                           java-archive  
jetty-alpn-server                                                                                                     9.4.45.v20220203                           java-archive  
jetty-annotations                                                                                                     9.4.45.v20220203                           java-archive  
jetty-cdi                                                                                                             9.4.45.v20220203                           java-archive  
jetty-client                                                                                                          9.4.45.v20220203                           java-archive  
jetty-continuation                                                                                                    9.4.45.v20220203                           java-archive  
jetty-deploy                                                                                                          9.4.45.v20220203                           java-archive  
jetty-gcloud-session-manager                                                                                          9.4.45.v20220203                           java-archive  
jetty-hazelcast                                                                                                       9.4.45.v20220203                           java-archive  
jetty-http                                                                                                            9.4.45.v20220203                           java-archive  
jetty-io                                                                                                              9.4.45.v20220203                           java-archive  
jetty-jaas                                                                                                            9.4.45.v20220203                           java-archive  
jetty-jaspi                                                                                                           9.4.45.v20220203                           java-archive  
jetty-jmx                                                                                                             9.4.45.v20220203                           java-archive  
jetty-jndi                                                                                                            9.4.45.v20220203                           java-archive  
jetty-memcached-sessions                                                                                              9.4.45.v20220203                           java-archive  
jetty-nosql                                                                                                           9.4.45.v20220203                           java-archive  
jetty-openid                                                                                                          9.4.45.v20220203                           java-archive  
jetty-plus                                                                                                            9.4.45.v20220203                           java-archive  
jetty-proxy                                                                                                           9.4.45.v20220203                           java-archive  
jetty-quickstart                                                                                                      9.4.45.v20220203                           java-archive  
jetty-rewrite                                                                                                         9.4.45.v20220203                           java-archive  
jetty-schemas                                                                                                         3.1.M0                                     java-archive  
jetty-security                                                                                                        9.4.45.v20220203                           java-archive  
jetty-server                                                                                                          9.4.45.v20220203                           java-archive  
jetty-servlet                                                                                                         9.4.45.v20220203                           java-archive  
jetty-servlets                                                                                                        9.4.45.v20220203                           java-archive  
jetty-setuid-java                                                                                                     1.0.4                                      java-archive  
jetty-spring                                                                                                          9.4.45.v20220203                           java-archive  
jetty-start                                                                                                           9.4.45.v20220203                           java-archive  
jetty-unixsocket                                                                                                      9.4.45.v20220203                           java-archive  
jetty-util                                                                                                            9.4.45.v20220203                           java-archive  
jetty-util-ajax                                                                                                       9.4.45.v20220203                           java-archive  
jetty-webapp                                                                                                          9.4.45.v20220203                           java-archive  
jetty-xml                                                                                                             9.4.45.v20220203                           java-archive  
jrt-fs                                                                                                                11.0.15                                    java-archive  
jsr107cache                                                                                                           1.1                                        java-archive  
jsr305                                                                                                                3.0.2                                      java-archive  
jzlib                                                                                                                 1.1.3                                      java-archive  
k8s.io/api                                                                                                            v0.18.3                                    go-module     
k8s.io/api                                                                                                            v0.21.6                                    go-module     
k8s.io/api                                                                                                            v0.22.3                                    go-module     
k8s.io/api                                                                                                            v0.24.0                                    go-module     
k8s.io/apiextensions-apiserver                                                                                        v0.18.2                                    go-module     
k8s.io/apimachinery                                                                                                   v0.18.3                                    go-module     
k8s.io/apimachinery                                                                                                   v0.21.6                                    go-module     
k8s.io/apimachinery                                                                                                   v0.22.3                                    go-module     
k8s.io/apimachinery                                                                                                   v0.24.0                                    go-module     
k8s.io/cli-runtime                                                                                                    v0.22.2                                    go-module     
k8s.io/cli-runtime                                                                                                    v0.24.0                                    go-module     
k8s.io/client-go                                                                                                      v0.18.3                                    go-module     
k8s.io/client-go                                                                                                      v0.21.6                                    go-module     
k8s.io/client-go                                                                                                      v0.22.2                                    go-module     
k8s.io/client-go                                                                                                      v0.24.0                                    go-module     
k8s.io/component-base                                                                                                 v0.22.2                                    go-module     
k8s.io/component-base                                                                                                 v0.24.0                                    go-module     
k8s.io/klog                                                                                                           v1.0.0                                     go-module     
k8s.io/klog/v2                                                                                                        v2.10.0                                    go-module     
k8s.io/klog/v2                                                                                                        v2.20.0                                    go-module     
k8s.io/klog/v2                                                                                                        v2.60.1                                    go-module     
k8s.io/kube-openapi                                                                                                   v0.0.0-20200410145947-61e04a5be9a6         go-module     
k8s.io/kube-openapi                                                                                                   v0.0.0-20210305001622-591a79e4bda7         go-module     
k8s.io/kube-openapi                                                                                                   v0.0.0-20210421082810-95288971da7e         go-module     
k8s.io/kube-openapi                                                                                                   v0.0.0-20211109043139-026bd182f079         go-module     
k8s.io/kube-openapi                                                                                                   v0.0.0-20220401212409-b28bf2818661         go-module     
k8s.io/kubectl                                                                                                        v0.18.0                                    go-module     
k8s.io/kubectl                                                                                                        v0.21.6                                    go-module     
k8s.io/kubectl                                                                                                        v0.22.2                                    go-module     
k8s.io/kubectl                                                                                                        v0.24.0                                    go-module     
k8s.io/utils                                                                                                          v0.0.0-20200324210504-a9aa75ae1b89         go-module     
k8s.io/utils                                                                                                          v0.0.0-20210820185131-d34e5cb4466e         go-module     
k8s.io/utils                                                                                                          v0.0.0-20210930125809-cb0fa318a74b         go-module     
k8s.io/utils                                                                                                          v0.0.0-20220210201930-3a6ce19ff2f9         go-module     
knative.dev/pkg                                                                                                       v0.0.0-20211004133827-74ac82a333a4         go-module     
less                                                                                                                  551-1ubuntu0.1                             deb           
libacl1                                                                                                               2.2.53-6                                   deb           
libalgorithm-diff-perl                                                                                                1.19.03-2                                  deb           
libalgorithm-diff-xs-perl                                                                                             0.04-6                                     deb           
libalgorithm-merge-perl                                                                                               0.08-3                                     deb           
libapparmor1                                                                                                          2.13.3-7ubuntu5.1                          deb           
libappstream4                                                                                                         0.12.10-2                                  deb           
libapt-pkg6.0                                                                                                         2.0.6                                      deb           
libargon2-1                                                                                                           0~20171227-0.2                             deb           
libasan5                                                                                                              9.4.0-1ubuntu1~20.04.1                     deb           
libasn1-8-heimdal                                                                                                     7.7.0+dfsg-1ubuntu1                        deb           
libasound2                                                                                                            1.2.2-2.1ubuntu2.5                         deb           
libasound2-data                                                                                                       1.2.2-2.1ubuntu2.5                         deb           
libassuan0                                                                                                            2.5.3-7ubuntu2                             deb           
libatk-bridge2.0-0                                                                                                    2.34.2-0ubuntu2~20.04.1                    deb           
libatk-wrapper-java                                                                                                   0.37.1-1                                   deb           
libatk-wrapper-java-jni                                                                                               0.37.1-1                                   deb           
libatk1.0-0                                                                                                           2.35.1-1ubuntu2                            deb           
libatk1.0-data                                                                                                        2.35.1-1ubuntu2                            deb           
libatomic1                                                                                                            10.3.0-1ubuntu1~20.04                      deb           
libatspi2.0-0                                                                                                         2.36.0-2                                   deb           
libattr1                                                                                                              1:2.4.48-5                                 deb           
libaudit-common                                                                                                       1:2.8.5-2ubuntu6                           deb           
libaudit1                                                                                                             1:2.8.5-2ubuntu6                           deb           
libavahi-client3                                                                                                      0.7-4ubuntu7.1                             deb           
libavahi-common-data                                                                                                  0.7-4ubuntu7.1                             deb           
libavahi-common3                                                                                                      0.7-4ubuntu7.1                             deb           
libbinutils                                                                                                           2.34-6ubuntu1.3                            deb           
libblkid1                                                                                                             2.34-0.1ubuntu9.3                          deb           
libbrotli1                                                                                                            1.0.7-6ubuntu0.1                           deb           
libbsd0                                                                                                               0.10.0-1                                   deb           
libbz2-1.0                                                                                                            1.0.8-2                                    deb           
libc-bin                                                                                                              2.31-0ubuntu9.9                            deb           
libc-dev-bin                                                                                                          2.31-0ubuntu9.9                            deb           
libc6                                                                                                                 2.31-0ubuntu9.9                            deb           
libc6-dev                                                                                                             2.31-0ubuntu9.9                            deb           
libcap-ng0                                                                                                            0.7.9-2.1build1                            deb           
libcap2                                                                                                               1:2.32-1                                   deb           
libcap2-bin                                                                                                           1:2.32-1                                   deb           
libcbor0.6                                                                                                            0.6.0-0ubuntu1                             deb           
libcc1-0                                                                                                              10.3.0-1ubuntu1~20.04                      deb           
libcom-err2                                                                                                           1.45.5-2ubuntu1                            deb           
libcrypt-dev                                                                                                          1:4.4.10-10ubuntu4                         deb           
libcrypt1                                                                                                             1:4.4.10-10ubuntu4                         deb           
libcryptsetup12                                                                                                       2:2.2.2-3ubuntu2.4                         deb           
libctf-nobfd0                                                                                                         2.34-6ubuntu1.3                            deb           
libctf0                                                                                                               2.34-6ubuntu1.3                            deb           
libcups2                                                                                                              2.3.1-9ubuntu1.1                           deb           
libcurl3-gnutls                                                                                                       7.68.0-1ubuntu2.11                         deb           
libcurl4                                                                                                              7.68.0-1ubuntu2.11                         deb           
libdb5.3                                                                                                              5.3.28+dfsg1-0.6ubuntu2                    deb           
libdbus-1-3                                                                                                           1.12.16-2ubuntu2.2                         deb           
libdconf1                                                                                                             0.36.0-1                                   deb           
libdebconfclient0                                                                                                     0.251ubuntu1                               deb           
libdevmapper1.02.1                                                                                                    2:1.02.167-1ubuntu1                        deb           
libdpkg-perl                                                                                                          1.19.7ubuntu3                              deb           
libdrm-amdgpu1                                                                                                        2.4.107-8ubuntu1~20.04.2                   deb           
libdrm-common                                                                                                         2.4.107-8ubuntu1~20.04.2                   deb           
libdrm-intel1                                                                                                         2.4.107-8ubuntu1~20.04.2                   deb           
libdrm-nouveau2                                                                                                       2.4.107-8ubuntu1~20.04.2                   deb           
libdrm-radeon1                                                                                                        2.4.107-8ubuntu1~20.04.2                   deb           
libdrm2                                                                                                               2.4.107-8ubuntu1~20.04.2                   deb           
libedit2                                                                                                              3.1-20191231-1                             deb           
libelf1                                                                                                               0.176-1.1build1                            deb           
liberror-perl                                                                                                         0.17029-1                                  deb           
libexpat1                                                                                                             2.2.9-1ubuntu0.4                           deb           
libexpat1-dev                                                                                                         2.2.9-1ubuntu0.4                           deb           
libext2fs2                                                                                                            1.45.5-2ubuntu1                            deb           
libfakeroot                                                                                                           1.24-1                                     deb           
libfdisk1                                                                                                             2.34-0.1ubuntu9.3                          deb           
libffi7                                                                                                               3.3-4                                      deb           
libfido2-1                                                                                                            1.3.1-1ubuntu2                             deb           
libfile-fcntllock-perl                                                                                                0.22-3build4                               deb           
libfontconfig1                                                                                                        2.13.1-2ubuntu3                            deb           
libfontenc1                                                                                                           1:1.1.4-0ubuntu1                           deb           
libfreetype6                                                                                                          2.10.1-2ubuntu0.1                          deb           
libgcc-9-dev                                                                                                          9.4.0-1ubuntu1~20.04.1                     deb           
libgcc-s1                                                                                                             10.3.0-1ubuntu1~20.04                      deb           
libgcrypt20                                                                                                           1.8.5-5ubuntu1.1                           deb           
libgdbm-compat4                                                                                                       1.18.1-5                                   deb           
libgdbm6                                                                                                              1.18.1-5                                   deb           
libgif7                                                                                                               5.1.9-1                                    deb           
libgirepository-1.0-1                                                                                                 1.64.1-1~ubuntu20.04.1                     deb           
libgl1                                                                                                                1.3.2-1~ubuntu0.20.04.2                    deb           
libgl1-mesa-dri                                                                                                       21.2.6-0ubuntu0.1~20.04.2                  deb           
libglapi-mesa                                                                                                         21.2.6-0ubuntu0.1~20.04.2                  deb           
libglib2.0-0                                                                                                          2.64.6-1~ubuntu20.04.4                     deb           
libglib2.0-bin                                                                                                        2.64.6-1~ubuntu20.04.4                     deb           
libglib2.0-data                                                                                                       2.64.6-1~ubuntu20.04.4                     deb           
libglvnd0                                                                                                             1.3.2-1~ubuntu0.20.04.2                    deb           
libglx-mesa0                                                                                                          21.2.6-0ubuntu0.1~20.04.2                  deb           
libglx0                                                                                                               1.3.2-1~ubuntu0.20.04.2                    deb           
libgmp10                                                                                                              2:6.2.0+dfsg-4                             deb           
libgnutls30                                                                                                           3.6.13-2ubuntu1.6                          deb           
libgomp1                                                                                                              10.3.0-1ubuntu1~20.04                      deb           
libgpg-error0                                                                                                         1.37-1                                     deb           
libgraphite2-3                                                                                                        1.3.13-11build1                            deb           
libgssapi-krb5-2                                                                                                      1.17-6ubuntu4.1                            deb           
libgssapi3-heimdal                                                                                                    7.7.0+dfsg-1ubuntu1                        deb           
libgstreamer1.0-0                                                                                                     1.16.2-2                                   deb           
libharfbuzz0b                                                                                                         2.6.4-1ubuntu4                             deb           
libhcrypto4-heimdal                                                                                                   7.7.0+dfsg-1ubuntu1                        deb           
libheimbase1-heimdal                                                                                                  7.7.0+dfsg-1ubuntu1                        deb           
libheimntlm0-heimdal                                                                                                  7.7.0+dfsg-1ubuntu1                        deb           
libhogweed5                                                                                                           3.5.1+really3.5.1-2ubuntu0.2               deb           
libhx509-5-heimdal                                                                                                    7.7.0+dfsg-1ubuntu1                        deb           
libice6                                                                                                               2:1.0.10-0ubuntu1                          deb           
libicu66                                                                                                              66.1-2ubuntu2.1                            deb           
libidn2-0                                                                                                             2.2.0-2                                    deb           
libip4tc2                                                                                                             1.8.4-3ubuntu2                             deb           
libisl22                                                                                                              0.22.1-1                                   deb           
libitm1                                                                                                               10.3.0-1ubuntu1~20.04                      deb           
libjpeg-turbo8                                                                                                        2.0.3-0ubuntu1.20.04.1                     deb           
libjpeg8                                                                                                              8c-2ubuntu8                                deb           
libjson-c4                                                                                                            0.13.1+dfsg-7ubuntu0.3                     deb           
libk5crypto3                                                                                                          1.17-6ubuntu4.1                            deb           
libkeyutils1                                                                                                          1.6-6ubuntu1                               deb           
libkmod2                                                                                                              27-1ubuntu2                                deb           
libkrb5-26-heimdal                                                                                                    7.7.0+dfsg-1ubuntu1                        deb           
libkrb5-3                                                                                                             1.17-6ubuntu4.1                            deb           
libkrb5support0                                                                                                       1.17-6ubuntu4.1                            deb           
libksba8                                                                                                              1.3.5-2                                    deb           
liblcms2-2                                                                                                            2.9-4                                      deb           
libldap-2.4-2                                                                                                         2.4.49+dfsg-2ubuntu1.8                     deb           
libldap-common                                                                                                        2.4.49+dfsg-2ubuntu1.8                     deb           
libllvm12                                                                                                             1:12.0.0-3ubuntu1~20.04.5                  deb           
liblmdb0                                                                                                              0.9.24-1                                   deb           
liblocale-gettext-perl                                                                                                1.07-4                                     deb           
liblsan0                                                                                                              10.3.0-1ubuntu1~20.04                      deb           
liblz4-1                                                                                                              1.9.2-2ubuntu0.20.04.1                     deb           
liblzma5                                                                                                              5.2.4-1ubuntu1.1                           deb           
libmagic-mgc                                                                                                          1:5.38-4                                   deb           
libmagic1                                                                                                             1:5.38-4                                   deb           
libmount1                                                                                                             2.34-0.1ubuntu9.3                          deb           
libmpc3                                                                                                               1.1.0-1                                    deb           
libmpdec2                                                                                                             2.4.2-3                                    deb           
libmpfr6                                                                                                              4.0.2-1                                    deb           
