NAME                                                                                                                  VERSION                                    TYPE         
github.com/GoogleContainerTools/kpt/porch/api                                                                         v0.0.0-20220426215627-4db5feb3a360         go-module     
github.com/GoogleContainerTools/skaffold                                                                              (devel)                                    go-module     
github.com/MakeNowJust/heredoc                                                                                        v0.0.0-20170808103936-bb23615498cd         go-module     
github.com/Masterminds/goutils                                                                                        v1.1.0                                     go-module     
github.com/Masterminds/semver                                                                                         v1.5.0                                     go-module     
github.com/Masterminds/semver/v3                                                                                      v3.1.0                                     go-module     
github.com/Masterminds/sprig/v3                                                                                       v3.1.0                                     go-module     
github.com/PuerkitoBio/purell                                                                                         v1.1.1                                     go-module     
github.com/PuerkitoBio/urlesc                                                                                         v0.0.0-20170810143723-de5bf2ad4578         go-module     
github.com/VividCortex/ewma                                                                                           v1.1.1                                     go-module     
github.com/acarl005/stripansi                                                                                         v0.0.0-20180116102854-5a71ef0e047d         go-module     
github.com/agext/levenshtein                                                                                          v1.2.2                                     go-module     
github.com/ahmetb/dlog                                                                                                v0.0.0-20170105205344-4fb5f8204f26         go-module     
github.com/alessio/shellescape                                                                                        v1.4.1                                     go-module     
github.com/apex/log                                                                                                   v1.9.0                                     go-module     
github.com/apparentlymart/go-cidr                                                                                     v1.0.1                                     go-module     
github.com/apparentlymart/go-textseg                                                                                  v1.0.0                                     go-module     
github.com/apparentlymart/go-textseg/v12                                                                              v12.0.0                                    go-module     
github.com/armon/go-radix                                                                                             v1.0.0                                     go-module     
github.com/asaskevich/govalidator                                                                                     v0.0.0-20190424111038-f61b66f89f4a         go-module     
github.com/aws/aws-sdk-go                                                                                             v1.25.3                                    go-module     
github.com/aws/aws-sdk-go-v2                                                                                          v1.13.0                                    go-module     
github.com/aws/aws-sdk-go-v2/config                                                                                   v1.13.1                                    go-module     
github.com/aws/aws-sdk-go-v2/credentials                                                                              v1.8.0                                     go-module     
github.com/aws/aws-sdk-go-v2/feature/ec2/imds                                                                         v1.10.0                                    go-module     
github.com/aws/aws-sdk-go-v2/internal/configsources                                                                   v1.1.4                                     go-module     
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2                                                                    v2.2.0                                     go-module     
github.com/aws/aws-sdk-go-v2/internal/ini                                                                             v1.3.5                                     go-module     
github.com/aws/aws-sdk-go-v2/service/ecr                                                                              v1.14.0                                    go-module     
github.com/aws/aws-sdk-go-v2/service/ecrpublic                                                                        v1.11.0                                    go-module     
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url                                                           v1.7.0                                     go-module     
github.com/aws/aws-sdk-go-v2/service/sso                                                                              v1.9.0                                     go-module     
github.com/aws/aws-sdk-go-v2/service/sts                                                                              v1.14.0                                    go-module     
github.com/aws/smithy-go                                                                                              v1.10.0                                    go-module     
github.com/awslabs/amazon-ecr-credential-helper/ecr-login                                                             v0.0.0-20220216180153-3d7835abdf40         go-module     
github.com/beorn7/perks                                                                                               v1.0.1                                     go-module     
github.com/bgentry/go-netrc                                                                                           v0.0.0-20140422174119-9fd32a8b3d3d         go-module     
github.com/bgentry/speakeasy                                                                                          v0.1.0                                     go-module     
github.com/bits-and-blooms/bitset                                                                                     v1.2.0                                     go-module     
github.com/blang/semver                                                                                               v3.5.1+incompatible                        go-module     
github.com/bmatcuk/doublestar                                                                                         v1.3.4                                     go-module     
github.com/buildpacks/imgutil                                                                                         v0.0.0-20211203200417-76206845baac         go-module     
github.com/buildpacks/lifecycle                                                                                       v0.13.1                                    go-module     
github.com/buildpacks/pack                                                                                            v0.23.0                                    go-module     
github.com/cenkalti/backoff/v4                                                                                        v4.1.1                                     go-module     
github.com/census-instrumentation/opencensus-proto                                                                    v0.2.1                                     go-module     
github.com/cespare/xxhash/v2                                                                                          v2.1.2                                     go-module     
github.com/chai2010/gettext-go                                                                                        v0.0.0-20160711120539-c6fed771bfd5         go-module     
github.com/cheggaaa/pb/v3                                                                                             v3.0.4                                     go-module     
github.com/chrismellard/docker-credential-acr-env                                                                     v0.0.0-20220119192733-fe33c00cee21         go-module     
github.com/cncf/udpa/go                                                                                               v0.0.0-20200313221541-5f7e5dd04533         go-module     
github.com/containerd/containerd                                                                                      v1.5.9                                     go-module     
github.com/containerd/stargz-snapshotter/estargz                                                                      v0.11.3                                    go-module     
github.com/containerd/ttrpc                                                                                           v1.1.0                                     go-module     
github.com/containerd/typeurl                                                                                         v1.0.2                                     go-module     
github.com/cpuguy83/go-md2man/v2                                                                                      v2.0.0                                     go-module     
github.com/cpuguy83/go-md2man/v2                                                                                      v2.0.1                                     go-module     
github.com/cyphar/filepath-securejoin                                                                                 v0.2.2                                     go-module     
github.com/davecgh/go-spew                                                                                            v1.1.1                                     go-module     
github.com/dimchansky/utfbom                                                                                          v1.1.1                                     go-module     
github.com/docker/cli                                                                                                 v20.10.12+incompatible                     go-module     
github.com/docker/distribution                                                                                        v2.7.1+incompatible                        go-module     
github.com/docker/distribution                                                                                        v2.8.0+incompatible                        go-module     
github.com/docker/docker                                                                                              v20.10.13+incompatible                     go-module     
github.com/docker/docker-credential-helpers                                                                           v0.6.4                                     go-module     
github.com/docker/go-connections                                                                                      v0.4.0                                     go-module     
github.com/docker/go-metrics                                                                                          v0.0.1                                     go-module     
github.com/docker/go-units                                                                                            v0.4.0                                     go-module     
github.com/dprotaso/go-yit                                                                                            v0.0.0-20191028211022-135eb7262960         go-module     
github.com/dsnet/compress                                                                                             v0.0.1                                     go-module     
github.com/dustin/go-humanize                                                                                         v1.0.0                                     go-module     
github.com/emicklei/go-restful                                                                                        v2.9.5+incompatible                        go-module     
github.com/emirpasic/gods                                                                                             v1.12.0                                    go-module     
github.com/envoyproxy/go-control-plane                                                                                v0.9.5-0.20200326174812-e8bd2869ff56       go-module     
github.com/envoyproxy/protoc-gen-validate                                                                             v0.1.0                                     go-module     
github.com/evanphx/json-patch                                                                                         v4.11.0+incompatible                       go-module     
github.com/evanphx/json-patch                                                                                         v4.12.0+incompatible                       go-module     
github.com/evanphx/json-patch                                                                                         v4.5.0+incompatible                        go-module     
github.com/evanphx/json-patch                                                                                         v4.9.0+incompatible                        go-module     
github.com/evanphx/json-patch/v5                                                                                      v5.6.0                                     go-module     
github.com/exponent-io/jsonpath                                                                                       v0.0.0-20151013193312-d6023ce2651d         go-module     
github.com/fatih/camelcase                                                                                            v1.0.0                                     go-module     
github.com/fatih/color                                                                                                v1.7.0                                     go-module     
github.com/form3tech-oss/jwt-go                                                                                       v3.2.3+incompatible                        go-module     
github.com/form3tech-oss/jwt-go                                                                                       v3.2.5+incompatible                        go-module     
github.com/fsnotify/fsnotify                                                                                          v1.4.7                                     go-module     
github.com/fsnotify/fsnotify                                                                                          v1.5.1                                     go-module     
github.com/fvbommel/sortorder                                                                                         v1.0.1                                     go-module     
github.com/gammazero/deque                                                                                            v0.0.0-20190521012701-46e4ffb7a622         go-module     
github.com/gammazero/workerpool                                                                                       v0.0.0-20190608213748-0ed5e40ec55e         go-module     
github.com/gdamore/encoding                                                                                           v1.0.0                                     go-module     
github.com/gdamore/tcell/v2                                                                                           v2.4.0                                     go-module     
github.com/ghodss/yaml                                                                                                v1.0.0                                     go-module     
github.com/go-errors/errors                                                                                           v1.0.1                                     go-module     
github.com/go-errors/errors                                                                                           v1.4.0                                     go-module     
github.com/go-errors/errors                                                                                           v1.4.2                                     go-module     
github.com/go-logr/logr                                                                                               v0.4.0                                     go-module     
github.com/go-logr/logr                                                                                               v1.0.0                                     go-module     
github.com/go-logr/logr                                                                                               v1.2.0                                     go-module     
github.com/go-openapi/jsonpointer                                                                                     v0.19.3                                    go-module     
github.com/go-openapi/jsonpointer                                                                                     v0.19.5                                    go-module     
github.com/go-openapi/jsonreference                                                                                   v0.19.3                                    go-module     
github.com/go-openapi/jsonreference                                                                                   v0.19.5                                    go-module     
github.com/go-openapi/jsonreference                                                                                   v0.19.6                                    go-module     
github.com/go-openapi/spec                                                                                            v0.19.5                                    go-module     
github.com/go-openapi/spec                                                                                            v0.20.4                                    go-module     
github.com/go-openapi/swag                                                                                            v0.19.14                                   go-module     
github.com/go-openapi/swag                                                                                            v0.19.15                                   go-module     
github.com/go-openapi/swag                                                                                            v0.19.5                                    go-module     
github.com/go-openapi/swag                                                                                            v0.19.6                                    go-module     
github.com/go-openapi/swag                                                                                            v0.21.1                                    go-module     
github.com/gobwas/glob                                                                                                v0.2.3                                     go-module     
github.com/gogo/protobuf                                                                                              v1.3.2                                     go-module     
